CREATE TABLE Production 
(
    manufacture_date	VARCHAR(512),
    item_id	INT,
    item_desc	INT,
    raw_material_cost	DOUBLE,
    number_of_carton_produce	DOUBLE
);

INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100001', '100001', '18027.27', '17930.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-16', '100109', '100109', '31800.00', '35125.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100110', '100110', '9033.33', '10485.71');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100120', '100120', '42333.33', '47583.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100121', '100121', '10550.00', '11216.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100122', '100122', '24250.00', '21012.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100123', '100123', '30250.00', '30337.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100139', '100139', '4916.67', '5866.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100140', '100140', '20680.00', '22425.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100141', '100141', '40720.00', '47725.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-02', '100142', '100142', '52320.00', '51325.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-03', '100143', '100143', '6933.33', '5600.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-04', '100144', '100144', '7025.00', '5780.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-05', '100153', '100153', '12900.00', '11140.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-06', '100154', '100154', '16125.00', '17760.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-07', '100155', '100155', '90100.00', '78500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-08', '100156', '100156', '10475.00', '11525.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-09', '100157', '100157', '19300.00', '22475.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-10', '100158', '100158', '39125.00', '40075.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-11', '100159', '100159', '47375.00', '48200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-12', '100160', '100160', '10633.33', '9000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100161', '100161', '21550.00', '17500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100170', '100170', '53000.00', '46760.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100171', '100171', '7000.00', '7716.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100172', '100172', '5166.67', '4500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100173', '100173', '4625.00', '5000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100174', '100174', '14525.00', '21000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100175', '100175', '20775.00', '24266.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100176', '100176', '55200.00', '58533.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100177', '100177', '111575.00', '82750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100178', '100178', '9933.33', '11000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100179', '100179', '11000.00', '11050.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100180', '100180', '9833.33', '12475.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100181', '100181', '15833.33', '17625.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100182', '100182', '21700.00', '21100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100183', '100183', '27666.67', '27875.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100184', '100184', '44666.67', '46925.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100185', '100185', '4200.00', '3500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100186', '100186', '9650.00', '8400.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100187', '100187', '10000.00', '8900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100188', '100188', '10800.00', '11800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100189', '100189', '19800.00', '19950.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100190', '100190', '24250.00', '24980.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100194', '100194', '32100.00', '33720.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100195', '100195', '42500.00', '42500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100196', '100196', '50850.00', '53000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100197', '100197', '55250.00', '55820.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100198', '100198', '85700.00', '82750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100199', '100199', '33000.00', '30416.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100211', '100211', '26460.00', '27800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100212', '100212', '25900.00', '25500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100213', '100213', '36800.00', '38000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100214', '100214', '81500.00', '65400.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100224', '100224', '17633.33', '10750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100225', '100225', '32466.67', '25250.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100226', '100226', '46666.67', '45966.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100227', '100227', '48300.00', '46900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100228', '100228', '78966.67', '68250.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100229', '100229', '71233.33', '72833.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100230', '100230', '22500.00', '25125.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100231', '100231', '73000.00', '66250.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100232', '100232', '19000.00', '14350.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100233', '100233', '32300.00', '23980.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100234', '100234', '19500.00', '20000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100235', '100235', '6200.00', '5250.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100236', '100236', '4850.00', '5500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100237', '100237', '8833.33', '9750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100238', '100238', '12000.00', '11800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100245', '100245', '15833.33', '15900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100246', '100246', '17733.33', '17750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100247', '100247', '22333.33', '23500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100248', '100248', '23166.67', '30000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100249', '100249', '28800.00', '32000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100255', '100255', '32666.67', '34000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100256', '100256', '56966.67', '58500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100257', '100257', '59333.33', '60050.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100258', '100258', '66166.67', '63500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100259', '100259', '75200.00', '71900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100260', '100260', '9850.00', '8833.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100261', '100261', '16000.00', '13266.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100262', '100262', '14500.00', '19566.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100263', '100263', '22500.00', '22800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100264', '100264', '16900.00', '23266.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100265', '100265', '22000.00', '23600.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100266', '100266', '26150.00', '26750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100267', '100267', '24700.00', '28000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100268', '100268', '32250.00', '32000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100269', '100269', '37650.00', '34000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100270', '100270', '38450.00', '40333.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100271', '100271', '35100.00', '43266.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100272', '100272', '50250.00', '49666.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100273', '100273', '56500.00', '54533.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100274', '100274', '53600.00', '57733.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100275', '100275', '64000.00', '65333.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100276', '100276', '70900.00', '67333.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100277', '100277', '96250.00', '86166.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100278', '100278', '4500.00', '4700.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100279', '100279', '5000.00', '5750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100280', '100280', '7000.00', '6475.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100281', '100281', '10500.00', '8933.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100282', '100282', '18700.00', '18050.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100283', '100283', '23000.00', '20900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100284', '100284', '45500.00', '50125.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100285', '100285', '59000.00', '58300.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100286', '100286', '60000.00', '62500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100287', '100287', '55000.00', '64300.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100288', '100288', '108300.00', '105000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100289', '100289', '5200.00', '4000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100290', '100290', '15933.33', '11000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100291', '100291', '14666.67', '15500.00');
